,Aggregated,Daily New
1/22/2020,0,0.0
1/23/2020,0,0.0
1/24/2020,0,0.0
1/25/2020,0,0.0
1/26/2020,0,0.0
1/27/2020,0,0.0
1/28/2020,0,0.0
1/29/2020,0,0.0
1/30/2020,0,0.0
1/31/2020,0,0.0
2/1/2020,0,0.0
2/2/2020,0,0.0
2/3/2020,0,0.0
2/4/2020,0,0.0
2/5/2020,0,0.0
2/6/2020,0,0.0
2/7/2020,0,0.0
2/8/2020,0,0.0
2/9/2020,0,0.0
2/10/2020,0,0.0
2/11/2020,0,0.0
2/12/2020,0,0.0
2/13/2020,0,0.0
2/14/2020,0,0.0
2/15/2020,0,0.0
2/16/2020,0,0.0
2/17/2020,0,0.0
2/18/2020,0,0.0
2/19/2020,0,0.0
2/20/2020,0,0.0
2/21/2020,0,0.0
2/22/2020,0,0.0
2/23/2020,0,0.0
2/24/2020,0,0.0
2/25/2020,0,0.0
2/26/2020,0,0.0
2/27/2020,0,0.0
2/28/2020,0,0.0
2/29/2020,1,1.0
3/1/2020,1,0.0
3/2/2020,6,5.0
3/3/2020,7,1.0
3/4/2020,11,4.0
3/5/2020,12,1.0
3/6/2020,14,2.0
3/7/2020,17,3.0
3/8/2020,21,4.0
3/9/2020,22,1.0
3/10/2020,28,6.0
3/11/2020,33,5.0
3/12/2020,43,10.0
3/13/2020,52,9.0
3/14/2020,58,6.0
3/15/2020,70,12.0
3/16/2020,97,27.0
3/17/2020,132,35.0
3/18/2020,191,59.0
3/19/2020,269,78.0
3/20/2020,368,99.0
3/21/2020,463,95.0
3/22/2020,611,148.0
3/23/2020,798,187.0
3/24/2020,1040,242.0
3/25/2020,1356,316.0
3/26/2020,1778,422.0
3/27/2020,2341,563.0
3/28/2020,2995,654.0
3/29/2020,3629,634.0
3/30/2020,4463,834.0
3/31/2020,5718,1255.0
4/1/2020,6986,1268.0
4/2/2020,8599,1613.0
4/3/2020,9936,1337.0
4/4/2020,11263,1327.0
4/5/2020,12765,1502.0
4/6/2020,14504,1739.0
4/7/2020,16883,2379.0
4/8/2020,19065,2182.0
4/9/2020,21216,2151.0
4/10/2020,23362,2146.0
4/11/2020,25486,2124.0
4/12/2020,27336,1850.0
4/13/2020,29242,1906.0
4/14/2020,31699,2457.0
4/15/2020,34308,2609.0
4/16/2020,36483,2175.0
4/17/2020,39149,2666.0
4/18/2020,41594,2445.0
4/19/2020,42870,1276.0
4/20/2020,44704,1834.0
4/21/2020,47208,2504.0
4/22/2020,49639,2431.0
4/23/2020,52108,2469.0
4/24/2020,54262,2154.0
4/25/2020,55959,1697.0
4/26/2020,57289,1330.0
4/27/2020,58756,1467.0
4/28/2020,60997,2241.0
4/29/2020,63518,2521.0
4/30/2020,65842,2324.0
5/1/2020,67733,1891.0
5/2/2020,69425,1692.0
5/3/2020,70546,1121.0
5/4/2020,71879,1333.0
5/5/2020,74197,2318.0
5/6/2020,76560,2363.0
5/7/2020,78496,1936.0
5/8/2020,80243,1747.0
5/9/2020,81731,1488.0
5/10/2020,82625,894.0
5/11/2020,83640,1015.0
5/12/2020,85266,1626.0
5/13/2020,87029,1763.0
5/14/2020,88812,1783.0
5/15/2020,90493,1681.0
5/16/2020,91709,1216.0
5/17/2020,92467,758.0
5/18/2020,93243,776.0
5/19/2020,94798,1555.0
5/20/2020,96377,1579.0
5/21/2020,97611,1234.0
5/22/2020,98884,1273.0
5/23/2020,100014,1130.0
5/24/2020,100628,614.0
5/25/2020,101151,523.0
5/26/2020,101846,695.0
5/27/2020,103364,1518.0
5/28/2020,104556,1192.0
5/29/2020,105727,1171.0
5/30/2020,106706,979.0
5/31/2020,107297,591.0
6/1/2020,108074,777.0
6/2/2020,109117,1043.0
6/3/2020,110128,1011.0
6/4/2020,111151,1023.0
6/5/2020,112100,949.0
6/6/2020,112787,687.0
6/7/2020,113234,447.0
6/8/2020,113747,513.0
6/9/2020,114692,945.0
6/10/2020,115610,918.0
6/11/2020,116498,888.0
6/12/2020,117330,832.0
6/13/2020,118093,763.0
6/14/2020,118401,308.0
6/15/2020,118792,391.0
6/16/2020,119635,843.0
6/17/2020,120387,752.0
6/18/2020,121097,710.0
6/19/2020,121769,672.0
6/20/2020,122382,613.0
6/21/2020,122666,284.0
6/22/2020,123053,387.0
6/23/2020,123900,847.0
6/24/2020,124664,764.0
6/25/2020,125223,559.0
6/26/2020,125835,612.0
6/27/2020,126335,500.0
6/28/2020,126586,251.0
6/29/2020,126950,364.0
6/30/2020,127685,735.0
7/1/2020,128372,687.0
7/2/2020,129096,724.0
7/3/2020,129749,653.0
7/4/2020,130020,271.0
7/5/2020,130319,299.0
7/6/2020,130670,351.0
7/7/2020,131894,1224.0
7/8/2020,132744,850.0
7/9/2020,133756,1012.0
7/10/2020,134586,830.0
7/11/2020,135277,691.0
7/12/2020,135728,451.0
7/13/2020,136117,389.0
7/14/2020,137045,928.0
7/15/2020,138013,968.0
7/16/2020,138966,953.0
7/17/2020,139886,920.0
7/18/2020,140756,870.0
7/19/2020,141201,445.0
7/20/2020,141715,514.0
7/21/2020,142824,1109.0
7/22/2020,144035,1211.0
7/23/2020,145156,1121.0
7/24/2020,146279,1123.0
7/25/2020,147180,901.0
7/26/2020,147657,477.0
7/27/2020,148782,1125.0
7/28/2020,150150,1368.0
7/29/2020,151586,1436.0
7/30/2020,152802,1216.0
7/31/2020,154048,1246.0
8/1/2020,155159,1111.0
8/2/2020,155565,406.0
8/3/2020,156104,539.0
8/4/2020,157482,1378.0
8/5/2020,158854,1372.0
8/6/2020,160104,1250.0
8/7/2020,161347,1243.0
8/8/2020,162423,1076.0
8/9/2020,162938,515.0
8/10/2020,163463,525.0
8/11/2020,164527,1064.0
8/12/2020,166034,1507.0
8/13/2020,167110,1076.0
8/14/2020,168452,1342.0
8/15/2020,169481,1029.0
8/16/2020,170052,571.0
8/17/2020,170497,445.0
8/18/2020,171821,1324.0
8/19/2020,173177,1356.0
8/20/2020,174255,1078.0
8/21/2020,175367,1112.0
8/22/2020,176350,983.0
8/23/2020,176800,450.0
8/24/2020,177245,445.0
8/25/2020,178486,1241.0
8/26/2020,179708,1222.0
8/27/2020,180824,1116.0
8/28/2020,181800,976.0
