Date,US Confirmed ARIMA Forecast
2020-08-29,41650.08331471526
2020-08-30,37694.44286711158
2020-08-31,36874.76225516515
2020-09-01,40421.40661804667
2020-09-02,45790.98107736054
2020-09-03,49304.82460307306
2020-09-04,48605.38998175168
2020-09-05,44573.2234652134
2020-09-06,40571.721133723535
2020-09-07,39928.23378019841
2020-09-08,43412.46011418907
2020-09-09,48681.096790863245
2020-09-10,52061.54804899343
2020-09-11,51329.580810509615
2020-09-12,47374.437903653736
2020-09-13,43507.74415918519
2020-09-14,42951.63079250448
2020-09-15,46411.80359979971
2020-09-16,51563.14864434828
2020-09-17,54822.4070556458
2020-09-18,54056.530965380414
2020-09-19,50179.77961510821
2020-09-20,46443.9102355179
2020-09-21,45972.1423292319
2020-09-22,49406.947270048666
2020-09-23,54443.082602984956
2020-09-24,57584.70796496877
2020-09-25,56787.4199390827
2020-09-26,52988.55001627324
2020-09-27,49380.425472502706
